Name,Nickname,extended_name,Year,Month,Day,Link to Profile,Unnamed: 5,ZODIAC_EMOJI,ZODIAC,HOROSCOPE,ANIMAL_EMOJI,ANIMAL,ELEMENT,YIN_YANG,HEAVENLY_STEM,EARTHLY_BRANCH,GENDER,ETHNICITY,BDAY,BIRTHDAY,DOB,AGE
A Game of Thrones,George R.R. Martin,A Game of Thrones by George R.R. Martin,1996,8,1,https://www.goodreads.com/book/show/13496,,📚,Leo,"Epic fantasy political drama",📖,Book,Fire,Yang,丙,子,Literature,English,1996-08-01,1996-08-01,1996-08-01,27
The Golden Compass,Philip Pullman,The Golden Compass by Philip Pullman,1995,7,1,https://www.goodreads.com/book/show/119322,,📚,Cancer,"Young adult fantasy adventure",📖,Book,Water,Yin,乙,亥,Literature,English,1995-07-01,1995-07-01,1995-07-01,28
Eragon,Christopher Paolini,Eragon by Christopher Paolini,2002,8,26,https://www.goodreads.com/book/show/113436,,📚,Virgo,"Dragon fantasy adventure",📖,Book,Earth,Yang,壬,午,Literature,English,2002-08-26,2002-08-26,2002-08-26,21
Twilight,Stephenie Meyer,Twilight by Stephenie Meyer,2005,10,5,https://www.goodreads.com/book/show/41865,,📚,Libra,"Vampire romance series",📖,Book,Air,Yin,乙,酉,Literature,English,2005-10-05,2005-10-05,2005-10-05,18
The Hunger Games,Suzanne Collins,The Hunger Games by Suzanne Collins,2008,9,14,https://www.goodreads.com/book/show/2767052,,📚,Virgo,"Dystopian survival adventure",📖,Book,Earth,Yang,戊,子,Literature,English,2008-09-14,2008-09-14,2008-09-14,15
Artemis Fowl,Eoin Colfer,Artemis Fowl by Eoin Colfer,2001,4,26,https://www.goodreads.com/book/show/249747,,📚,Taurus,"Fantasy crime adventure",📖,Book,Earth,Yin,辛,巳,Literature,English,2001-04-26,2001-04-26,2001-04-26,22
Ella Enchanted,Gail Carson Levine,Ella Enchanted by Gail Carson Levine,1997,5,1,https://www.goodreads.com/book/show/7664,,📚,Taurus,"Fairy tale retelling",📖,Book,Earth,Yin,丁,丑,Literature,English,1997-05-01,1997-05-01,1997-05-01,26
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter and the Sorcerer's Stone by J.K. Rowling,1997,6,26,https://www.goodreads.com/book/show/3,,📚,Cancer,"Magical school adventure",📖,Book,Water,Yin,丁,丑,Literature,English,1997-06-26,1997-06-26,1997-06-26,26
Uglies,Scott Westerfeld,Uglies by Scott Westerfeld,2005,2,8,https://www.goodreads.com/book/show/24770,,📚,Aquarius,"Dystopian beauty standards",📖,Book,Air,Yin,乙,酉,Literature,English,2005-02-08,2005-02-08,2005-02-08,18
Never Let Me Go,Kazuo Ishiguro,Never Let Me Go by Kazuo Ishiguro,2005,4,1,https://www.goodreads.com/book/show/6334,,📚,Aries,"Science fiction literary novel",📖,Book,Fire,Yin,乙,酉,Literature,English,2005-04-01,2005-04-01,2005-04-01,18
Watchmen,Alan Moore,Watchmen by Alan Moore,1986,9,1,https://www.goodreads.com/book/show/472331,,📚,Virgo,"Graphic novel superhero deconstruction",📖,Book,Earth,Yang,丙,寅,Literature,English,1986-09-01,1986-09-01,1986-09-01,37
Hyperbole and a Half,Allie Brosh,Hyperbole and a Half by Allie Brosh,2013,10,29,https://www.goodreads.com/book/show/17571564,,📚,Scorpio,"Humor memoir comics",📖,Book,Water,Yin,癸,巳,Literature,English,2013-10-29,2013-10-29,2013-10-29,10
Why Not Me?,Mindy Kaling,Why Not Me? by Mindy Kaling,2015,9,15,https://www.goodreads.com/book/show/25886493,,📚,Virgo,"Comedy memoir essays",📖,Book,Earth,Yin,乙,未,Literature,English,2015-09-15,2015-09-15,2015-09-15,8
Is Everyone Hanging Out Without Me?,Mindy Kaling,Is Everyone Hanging Out Without Me? by Mindy Kaling,2011,11,1,https://www.goodreads.com/book/show/11231413,,📚,Scorpio,"Comedy memoir",📖,Book,Water,Yin,辛,卯,Literature,English,2011-11-01,2011-11-01,2011-11-01,12
Where'd You Go Bernadette,Maria Semple,Where'd You Go Bernadette by Maria Semple,2012,8,14,https://www.goodreads.com/book/show/13526165,,📚,Leo,"Comedic mystery novel",📖,Book,Fire,Yang,壬,辰,Literature,English,2012-08-14,2012-08-14,2012-08-14,11
Death Note Vol. 1,Tsugumi Ohba,Death Note Vol. 1 by Tsugumi Ohba,2003,12,1,https://www.goodreads.com/book/show/232922,,📚,Sagittarius,"Supernatural thriller manga",📖,Book,Fire,Yin,癸,未,Literature,Japanese,2003-12-01,2003-12-01,2003-12-01,20
Naruto Vol. 1,Masashi Kishimoto,Naruto Vol. 1 by Masashi Kishimoto,1999,9,21,https://www.goodreads.com/book/show/131298,,📚,Virgo,"Ninja adventure manga",📖,Book,Earth,Yin,己,卯,Literature,Japanese,1999-09-21,1999-09-21,1999-09-21,24
The Hobbit,J.R.R. Tolkien,The Hobbit by J.R.R. Tolkien,1937,9,21,https://www.goodreads.com/book/show/5907,,📚,Virgo,"Fantasy adventure prequel",📖,Book,Earth,Yin,丁,丑,Literature,English,1937-09-21,1937-09-21,1937-09-21,86
The Lord of the Rings,J.R.R. Tolkien,The Lord of the Rings by J.R.R. Tolkien,1954,7,29,https://www.goodreads.com/book/show/33,,📚,Leo,"Epic fantasy trilogy",📖,Book,Fire,Yang,甲,午,Literature,English,1954-07-29,1954-07-29,1954-07-29,69
The Martian,Andy Weir,The Martian by Andy Weir,2011,9,27,https://www.goodreads.com/book/show/18007564,,📚,Libra,"Science survival story",📖,Book,Air,Yin,辛,卯,Literature,English,2011-09-27,2011-09-27,2011-09-27,12
Flowers for Algernon,Daniel Keyes,Flowers for Algernon by Daniel Keyes,1966,3,1,https://www.goodreads.com/book/show/18373,,📚,Pisces,"Science fiction about intelligence",📖,Book,Water,Yang,丙,午,Literature,English,1966-03-01,1966-03-01,1966-03-01,57
Bossypants,Tina Fey,Bossypants by Tina Fey,2011,4,5,https://www.goodreads.com/book/show/9418327,,📚,Aries,"Comedy memoir",📖,Book,Fire,Yin,辛,卯,Literature,English,2011-04-05,2011-04-05,2011-04-05,12
Gone Girl,Gillian Flynn,Gone Girl by Gillian Flynn,2012,5,24,https://www.goodreads.com/book/show/19288043,,📚,Gemini,"Psychological thriller",📖,Book,Air,Yang,壬,辰,Literature,English,2012-05-24,2012-05-24,2012-05-24,11
War and Peace,Leo Tolstoy,War and Peace by Leo Tolstoy,1869,1,1,https://www.goodreads.com/book/show/656,,📚,Capricorn,"Epic historical novel",📖,Book,Earth,Yang,己,巳,Literature,Russian,1869-01-01,1869-01-01,1869-01-01,154
One More Thing,B.J. Novak,One More Thing by B.J. Novak,2014,2,4,https://www.goodreads.com/book/show/18114188,,📚,Aquarius,"Short story collection",📖,Book,Air,Yang,甲,午,Literature,English,2014-02-04,2014-02-04,2014-02-04,9
The Sixth Extinction,Elizabeth Kolbert,The Sixth Extinction by Elizabeth Kolbert,2014,2,11,https://www.goodreads.com/book/show/17910054,,📚,Aquarius,"Environmental science",📖,Book,Air,Yang,甲,午,Literature,English,2014-02-11,2014-02-11,2014-02-11,9
The Life-Changing Magic of Tidying Up,Marie Kondo,The Life-Changing Magic of Tidying Up by Marie Kondo,2010,12,31,https://www.goodreads.com/book/show/22318578,,📚,Capricorn,"Organization self-help",📖,Book,Earth,Yang,庚,寅,Literature,Japanese,2010-12-31,2010-12-31,2010-12-31,13
Harry Potter and the Half-Blood Prince,J.K. Rowling,Harry Potter and the Half-Blood Prince by J.K. Rowling,2005,7,16,https://www.goodreads.com/book/show/1,,📚,Cancer,"Magical school mystery",📖,Book,Water,Yin,乙,酉,Literature,English,2005-07-16,2005-07-16,2005-07-16,18
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Harry Potter and the Prisoner of Azkaban by J.K. Rowling,1999,7,8,https://www.goodreads.com/book/show/5,,📚,Cancer,"Prison escape adventure",📖,Book,Water,Yin,己,卯,Literature,English,1999-07-08,1999-07-08,1999-07-08,24
Meditations in an Emergency,Frank O'Hara,Meditations in an Emergency by Frank O'Hara,1957,1,1,https://www.goodreads.com/book/show/25439,,📚,Capricorn,"Poetry collection",📖,Book,Earth,Yin,丁,酉,Literature,English,1957-01-01,1957-01-01,1957-01-01,66
Steve Jobs,Walter Isaacson,Steve Jobs by Walter Isaacson,2011,10,24,https://www.goodreads.com/book/show/11084145,,📚,Scorpio,"Technology biography",📖,Book,Water,Yin,辛,卯,Literature,English,2011-10-24,2011-10-24,2011-10-24,12
Elon Musk,Ashlee Vance,Elon Musk by Ashlee Vance,2015,5,19,https://www.goodreads.com/book/show/22543496,,📚,Taurus,"Entrepreneur biography",📖,Book,Earth,Yin,乙,未,Literature,English,2015-05-19,2015-05-19,2015-05-19,8
Wild,Cheryl Strayed,Wild by Cheryl Strayed,2012,3,20,https://www.goodreads.com/book/show/12262741,,📚,Pisces,"Hiking memoir",📖,Book,Water,Yang,壬,辰,Literature,English,2012-03-20,2012-03-20,2012-03-20,11
Brave Enough,Cheryl Strayed,Brave Enough by Cheryl Strayed,2015,10,27,https://www.goodreads.com/book/show/25614874,,📚,Scorpio,"Inspirational quotes",📖,Book,Water,Yin,乙,未,Literature,English,2015-10-27,2015-10-27,2015-10-27,8
The Nest,Cynthia D'Aprix Sweeney,The Nest by Cynthia D'Aprix Sweeney,2016,3,22,https://www.goodreads.com/book/show/26213954,,📚,Aries,"Family inheritance drama",📖,Book,Fire,Yang,丙,申,Literature,English,2016-03-22,2016-03-22,2016-03-22,7
The Hitchhiker's Guide to the Galaxy,Douglas Adams,The Hitchhiker's Guide to the Galaxy by Douglas Adams,1979,10,12,https://www.goodreads.com/book/show/11,,📚,Libra,"Science fiction comedy",📖,Book,Air,Yin,己,未,Literature,English,1979-10-12,1979-10-12,1979-10-12,44
#Girlboss,Sophia Amoruso,#Girlboss by Sophia Amoruso,2014,5,6,https://www.goodreads.com/book/show/22729243,,📚,Taurus,"Entrepreneur memoir",📖,Book,Earth,Yang,甲,午,Literature,English,2014-05-06,2014-05-06,2014-05-06,9
The Restaurant at the End of the Universe,Douglas Adams,The Restaurant at the End of the Universe by Douglas Adams,1980,1,1,https://www.goodreads.com/book/show/8695,,📚,Capricorn,"Sci-fi comedy sequel",📖,Book,Earth,Yang,庚,申,Literature,English,1980-01-01,1980-01-01,1980-01-01,43
A Journal Life-Changing Magic,,A Journal Life-Changing Magic,2015,12,29,https://www.goodreads.com/book/show/28695719,,📚,Capricorn,"Organization journal",📖,Book,Earth,Yin,乙,未,Literature,English,2015-12-29,2015-12-29,2015-12-29,8
My Paris Dream,Kate Betts,My Paris Dream by Kate Betts,2015,5,5,https://www.goodreads.com/book/show/23208083,,📚,Taurus,"Fashion memoir",📖,Book,Earth,Yin,乙,未,Literature,English,2015-05-05,2015-05-05,2015-05-05,8
Thinking Fast and Slow,Daniel Kahneman,Thinking Fast and Slow by Daniel Kahneman,2011,10,25,https://www.goodreads.com/book/show/11468377,,📚,Scorpio,"Psychology behavioral economics",📖,Book,Water,Yin,辛,卯,Literature,English,2011-10-25,2011-10-25,2011-10-25,12
10% Happier,Dan Harris,10% Happier by Dan Harris,2014,3,11,https://www.goodreads.com/book/show/18656006,,📚,Pisces,"Meditation memoir",📖,Book,Water,Yang,甲,午,Literature,English,2014-03-11,2014-03-11,2014-03-11,9
The Chronicles of Narnia,C.S. Lewis,The Chronicles of Narnia by C.S. Lewis,1950,10,16,https://www.goodreads.com/book/show/11127,,📚,Libra,"Children's fantasy series",📖,Book,Air,Yang,庚,寅,Literature,English,1950-10-16,1950-10-16,1950-10-16,73
Lord of the Flies,William Golding,Lord of the Flies by William Golding,1954,9,17,https://www.goodreads.com/book/show/7624,,📚,Virgo,"Allegorical survival novel",📖,Book,Earth,Yang,甲,午,Literature,English,1954-09-17,1954-09-17,1954-09-17,69
Harry Potter and the Deathly Hallows,J.K. Rowling,Harry Potter and the Deathly Hallows by J.K. Rowling,2007,7,21,https://www.goodreads.com/book/show/136251,,📚,Cancer,"Magical series finale",📖,Book,Water,Yin,丁,亥,Literature,English,2007-07-21,2007-07-21,2007-07-21,16
The Giving Tree,Shel Silverstein,The Giving Tree by Shel Silverstein,1964,10,7,https://www.goodreads.com/book/show/370493,,📚,Libra,"Children's picture book",📖,Book,Air,Yang,甲,辰,Literature,English,1964-10-07,1964-10-07,1964-10-07,59
Alice's Adventures in Wonderland,Lewis Carroll,Alice's Adventures in Wonderland by Lewis Carroll,1865,11,26,https://www.goodreads.com/book/show/24213,,📚,Sagittarius,"Fantasy children's classic",📖,Book,Fire,Yin,乙,丑,Literature,English,1865-11-26,1865-11-26,1865-11-26,158
Fahrenheit 451,Ray Bradbury,Fahrenheit 451 by Ray Bradbury,1953,10,19,https://www.goodreads.com/book/show/4381,,📚,Libra,"Dystopian book burning",📖,Book,Air,Yin,癸,巳,Literature,English,1953-10-19,1953-10-19,1953-10-19,70
Harry Potter and the Goblet of Fire,J.K. Rowling,Harry Potter and the Goblet of Fire by J.K. Rowling,2000,7,8,https://www.goodreads.com/book/show/6,,📚,Cancer,"Triwizard Tournament",📖,Book,Water,Yang,庚,辰,Literature,English,2000-07-08,2000-07-08,2000-07-08,23
Brave New World Revisited,Aldous Huxley,Brave New World Revisited by Aldous Huxley,1958,1,1,https://www.goodreads.com/book/show/52301,,📚,Capricorn,"Social commentary",📖,Book,Earth,Yang,戊,戌,Literature,English,1958-01-01,1958-01-01,1958-01-01,65
Memoirs of a Geisha,Arthur Golden,Memoirs of a Geisha by Arthur Golden,1997,9,27,https://www.goodreads.com/book/show/929,,📚,Libra,"Historical fiction",📖,Book,Air,Yin,丁,丑,Literature,English,1997-09-27,1997-09-27,1997-09-27,26
Anne of Green Gables,L.M. Montgomery,Anne of Green Gables by L.M. Montgomery,1908,6,13,https://www.goodreads.com/book/show/8127,,📚,Gemini,"Children's classic",📖,Book,Air,Yang,戊,申,Literature,Canadian,1908-06-13,1908-06-13,1908-06-13,115
Life of Pi,Yann Martel,Life of Pi by Yann Martel,2001,9,11,https://www.goodreads.com/book/show/4214,,📚,Virgo,"Survival adventure",📖,Book,Earth,Yin,辛,巳,Literature,Canadian,2001-09-11,2001-09-11,2001-09-11,22
Slaughterhouse-Five,Kurt Vonnegut,Slaughterhouse-Five by Kurt Vonnegut,1969,3,31,https://www.goodreads.com/book/show/4981,,📚,Aries,"Anti-war satire",📖,Book,Fire,Yin,己,酉,Literature,English,1969-03-31,1969-03-31,1969-03-31,54
Lolita,Vladimir Nabokov,Lolita by Vladimir Nabokov,1955,9,1,https://www.goodreads.com/book/show/7604,,📚,Virgo,"Controversial literary novel",📖,Book,Earth,Yin,乙,未,Literature,Russian,1955-09-01,1955-09-01,1955-09-01,68
Atlas Shrugged,Ayn Rand,Atlas Shrugged by Ayn Rand,1957,10,10,https://www.goodreads.com/book/show/662,,📚,Libra,"Philosophical novel",📖,Book,Air,Yin,丁,酉,Literature,Russian,1957-10-10,1957-10-10,1957-10-10,66
The Brothers Karamazov,Fyodor Dostoevsky,The Brothers Karamazov by Fyodor Dostoevsky,1880,1,1,https://www.goodreads.com/book/show/4934,,📚,Capricorn,"Philosophical Russian novel",📖,Book,Earth,Yang,庚,辰,Literature,Russian,1880-01-01,1880-01-01,1880-01-01,143
Girl in Pieces,Kathleen Glasgow,Girl in Pieces by Kathleen Glasgow,2016,8,30,https://www.goodreads.com/book/show/28220772,,📚,Virgo,"Young adult mental health",📖,Book,Earth,Yang,丙,申,Literature,English,2016-08-30,2016-08-30,2016-08-30,7
All the Ugly and Wonderful Things,Bryn Greenwood,All the Ugly and Wonderful Things by Bryn Greenwood,2016,8,9,https://www.goodreads.com/book/show/29236378,,📚,Leo,"Controversial romance",📖,Book,Fire,Yang,丙,申,Literature,English,2016-08-09,2016-08-09,2016-08-09,7
Kafka on the Shore,Haruki Murakami,Kafka on the Shore by Haruki Murakami,2002,9,12,https://www.goodreads.com/book/show/4929,,📚,Virgo,"Magical realism",📖,Book,Earth,Yang,壬,午,Literature,Japanese,2002-09-12,2002-09-12,2002-09-12,21
1Q84,Haruki Murakami,1Q84 by Haruki Murakami,2009,5,29,https://www.goodreads.com/book/show/10357575,,📚,Gemini,"Alternate reality novel",📖,Book,Air,Yin,己,丑,Literature,Japanese,2009-05-29,2009-05-29,2009-05-29,14
Norwegian Wood,Haruki Murakami,Norwegian Wood by Haruki Murakami,1987,9,4,https://www.goodreads.com/book/show/11297,,📚,Virgo,"Coming-of-age romance",📖,Book,Earth,Yin,丁,卯,Literature,Japanese,1987-09-04,1987-09-04,1987-09-04,36
milk and honey,Rupi Kaur,milk and honey by Rupi Kaur,2014,11,4,https://www.goodreads.com/book/show/21464113,,📚,Scorpio,"Poetry collection",📖,Book,Water,Yang,甲,午,Literature,Canadian,2014-11-04,2014-11-04,2014-11-04,9
Just the Arguments,,Just the Arguments,2011,9,19,https://www.goodreads.com/book/show/12838961,,📚,Virgo,"Philosophy arguments",📖,Book,Earth,Yin,辛,卯,Literature,English,2011-09-19,2011-09-19,2011-09-19,12
Metamagical Themas,Douglas Hofstadter,Metamagical Themas by Douglas Hofstadter,1985,1,1,https://www.goodreads.com/book/show/18187,,📚,Capricorn,"Cognitive science essays",📖,Book,Earth,Yin,乙,丑,Literature,English,1985-01-01,1985-01-01,1985-01-01,38
The Selfish Gene,Richard Dawkins,The Selfish Gene by Richard Dawkins,1976,1,1,https://www.goodreads.com/book/show/61535,,📚,Capricorn,"Evolutionary biology",📖,Book,Earth,Yang,丙,辰,Literature,English,1976-01-01,1976-01-01,1976-01-01,47
The God Delusion,Richard Dawkins,The God Delusion by Richard Dawkins,2006,9,2,https://www.goodreads.com/book/show/14743,,📚,Virgo,"Atheism science",📖,Book,Earth,Yang,丙,戌,Literature,English,2006-09-02,2006-09-02,2006-09-02,17
The Blind Watchmaker,Richard Dawkins,The Blind Watchmaker by Richard Dawkins,1986,1,1,https://www.goodreads.com/book/show/82417,,📚,Capricorn,"Evolution science",📖,Book,Earth,Yang,丙,寅,Literature,English,1986-01-01,1986-01-01,1986-01-01,37
The Greatest Show on Earth,Richard Dawkins,The Greatest Show on Earth by Richard Dawkins,2009,9,22,https://www.goodreads.com/book/show/6110755,,📚,Virgo,"Evolution evidence",📖,Book,Earth,Yin,己,丑,Literature,English,2009-09-22,2009-09-22,2009-09-22,14
The Magic of Reality,Richard Dawkins,The Magic of Reality by Richard Dawkins,2011,9,15,https://www.goodreads.com/book/show/11478575,,📚,Virgo,"Science for young readers",📖,Book,Earth,Yin,辛,卯,Literature,English,2011-09-15,2011-09-15,2011-09-15,12
The Extended Phenotype,Richard Dawkins,The Extended Phenotype by Richard Dawkins,1982,1,1,https://www.goodreads.com/book/show/61538,,📚,Capricorn,"Evolutionary biology",📖,Book,Earth,Yang,壬,戌,Literature,English,1982-01-01,1982-01-01,1982-01-01,41
The Ancestor's Tale,Richard Dawkins,The Ancestor's Tale by Richard Dawkins,2004,9,2,https://www.goodreads.com/book/show/36072,,📚,Virgo,"Evolutionary pilgrimage",📖,Book,Earth,Yang,甲,申,Literature,English,2004-09-02,2004-09-02,2004-09-02,19
Climbing Mount Improbable,Richard Dawkins,Climbing Mount Improbable by Richard Dawkins,1996,9,5,https://www.goodreads.com/book/show/82415,,📚,Virgo,"Evolution complexity",📖,Book,Earth,Yang,丙,子,Literature,English,1996-09-05,1996-09-05,1996-09-05,27
River Out of Eden,Richard Dawkins,River Out of Eden by Richard Dawkins,1995,1,1,https://www.goodreads.com/book/show/82416,,📚,Capricorn,"Evolution genetics",📖,Book,Earth,Yin,乙,亥,Literature,English,1995-01-01,1995-01-01,1995-01-01,28
A Devil's Chaplain,Richard Dawkins,A Devil's Chaplain by Richard Dawkins,2003,9,4,https://www.goodreads.com/book/show/82414,,📚,Virgo,"Science essays",📖,Book,Earth,Yin,癸,未,Literature,English,2003-09-04,2003-09-04,2003-09-04,20
Unweaving the Rainbow,Richard Dawkins,Unweaving the Rainbow by Richard Dawkins,1998,10,1,https://www.goodreads.com/book/show/82413,,📚,Libra,"Science poetry",📖,Book,Air,Yang,戊,寅,Literature,English,1998-10-01,1998-10-01,1998-10-01,25
The Oxford Book of Modern Science Writing,Richard Dawkins,The Oxford Book of Modern Science Writing by Richard Dawkins,2008,3,27,https://www.goodreads.com/book/show/2153337,,📚,Aries,"Science writing anthology",📖,Book,Fire,Yang,戊,子,Literature,English,2008-03-27,2008-03-27,2008-03-27,15
The Quotable Dawkins,,The Quotable Dawkins,2011,9,27,https://www.goodreads.com/book/show/12838962,,📚,Libra,"Richard Dawkins quotes",📖,Book,Air,Yin,辛,卯,Literature,English,2011-09-27,2011-09-27,2011-09-27,12
Science in the Soul,Richard Dawkins,Science in the Soul by Richard Dawkins,2017,3,30,https://www.goodreads.com/book/show/33542413,,📚,Aries,"Science essays collection",📖,Book,Fire,Yin,丁,酉,Literature,English,2017-03-30,2017-03-30,2017-03-30,6
Brief Candle in the Dark,Richard Dawkins,Brief Candle in the Dark by Richard Dawkins,2015,9,24,https://www.goodreads.com/book/show/25663698,,📚,Libra,"Memoir second volume",📖,Book,Air,Yin,乙,未,Literature,English,2015-09-24,2015-09-24,2015-09-24,8
An Appetite for Wonder,Richard Dawkins,An Appetite for Wonder by Richard Dawkins,2013,9,12,https://www.goodreads.com/book/show/17287218,,📚,Virgo,"Memoir first volume",📖,Book,Earth,Yin,癸,巳,Literature,English,2013-09-12,2013-09-12,2013-09-12,10
The Four Agreements,Don Miguel Ruiz,The Four Agreements by Don Miguel Ruiz,1997,11,7,https://www.goodreads.com/book/show/6596,,📚,Scorpio,"Spiritual self-help",📖,Book,Water,Yin,丁,丑,Literature,Mexican,1997-11-07,1997-11-07,1997-11-07,26
